User ID Date Description Credit (Rs.) Debit (Rs.) Balance (Rs.)
"IN04 0001 2345 6789 03/01/2024 Uber Ride 461.64 44,738.36"
"IN04 0008 9012 3456 25/03/2024 DTH Recharge 3,797.12 95,992.50"
"IN04 0008 9012 3456 27/03/2024 Electricity Bill 1,507.29 94,485.21"
"IN04 0008 9012 3456 27/03/2024 Bonus Credit 55,814.41 150,299.62"
"IN04 0008 9012 3456 27/03/2024 Bus Booking 16,381.63 133,917.99"
"IN04 0008 9012 3456 28/03/2024 GST Refund 4,812.42 138,730.41"
"IN04 0008 9012 3456 28/03/2024 Rental Income 63,978.85 202,709.26"
"IN04 0008 9012 3456 28/03/2024 UPI Received 30,114.92 172,594.34"
"IN04 0008 9012 3456 29/03/2024 DTH Recharge 4,303.84 168,290.50"
"IN04 0008 9012 3456 29/03/2024 Electricity Bill 1,113.78 167,176.72"
"IN04 0008 9012 3456 29/03/2024 IMPS Transfer 33,709.45 200,886.17"
"IN04 0008 9012 3456 30/03/2024 Airport Cab 9,195.68 191,690.49"
"IN04 0008 9012 3456 30/03/2024 Grocery - BigBasket 1,259.08 190,431.41"
"IN04 0008 9012 3456 30/03/2024 EMI Debit 7,251.54 183,179.87"
"IN04 0008 9012 3456 31/03/2024 PPF Contribution 39,630.95 143,548.92"
"IN04 0008 9012 3456 01/04/2024 Cash Deposit 8,229.04 135,319.88"
"IN04 0008 9012 3456 02/04/2024 Zomato Order 2,266.87 133,053.01"
"IN04 0008 9012 3456 03/04/2024 RD Installment 23,584.28 109,468.73"
"IN04 0008 9012 3456 03/04/2024 FD Opening 44,177.98 65,290.75"
"IN04 0008 9012 3456 04/04/2024 Internet Bill 4,802.13 60,488.62"
"IN04 0008 9012 3456 04/04/2024 Uber Ride 2,696.26 57,792.36"
"IN04 0008 9012 3456 04/04/2024 Refund - Amazon 1,512.32 59,304.68"
"IN04 0008 9012 3456 06/04/2024 RD Installment 44,408.80 14,895.88"
"IN04 0008 9012 3456 06/04/2024 Term Plan 1,632.79 13,263.09"
"IN04 0008 9012 3456 07/04/2024 Hotstar 871.80 12,391.29"
"IN04 0008 9012 3456 07/04/2024 Restaurant Bill 243.97 12,147.32"
"IN04 0008 9012 3456 08/04/2024 Fuel - HPCL 2,769.86 9,377.46"
"IN04 0008 9012 3456 08/04/2024 Electricity Bill 4,961.29 4,416.17"
"IN04 0008 9012 3456 09/04/2024 Postpaid Bill 885.79 3,530.38"
"IN04 0008 9012 3456 12/04/2024 Cash Deposit 970.73 2,559.65"
"IN04 0008 9012 3456 13/04/2024 Hotstar 743.87 1,815.78"
"IN04 0008 9012 3456 13/04/2024 IMPS Transfer 11,540.10 13,355.88"
"IN04 0008 9012 3456 13/04/2024 Dividend Credit 14,247.33 27,603.21"
"IN04 0008 9012 3456 14/04/2024 Loan Repayment 13,568.84 14,034.37"
"IN04 0008 9012 3456 14/04/2024 Salary Credit 54,974.00 69,008.37"
"IN04 0008 9012 3456 14/04/2024 Dividend Credit 42,946.08 111,954.45"
"IN04 0008 9012 3456 15/04/2024 GST Refund 1,684.25 113,638.70"
"IN04 0008 9012 3456 16/04/2024 Postpaid Bill 988.92 112,649.78"
"IN04 0008 9012 3456 16/04/2024 Water Bill 3,834.33 108,815.45"
"IN04 0008 9012 3456 16/04/2024 Ola Ride 1,869.78 106,945.67"
"IN04 0008 9012 3456 17/04/2024 Hotel Booking 1,544.18 105,401.49"
"IN04 0008 9012 3456 17/04/2024 Pharmacy Purchase 19,075.84 86,325.65"
"IN04 0008 9012 3456 18/04/2024 Bus Booking 6,051.83 80,273.82"
"IN04 0008 9012 3456 19/04/2024 Bus Booking 17,175.15 63,098.67"
"IN04 0008 9012 3456 20/04/2024 Swiggy Order 475.41 62,623.26"
"IN04 0008 9012 3456 22/04/2024 Broadband Bill 1,201.60 61,421.66"
"IN04 0008 9012 3456 22/04/2024 Metro Card Recharge 2,749.65 58,672.01"
"IN04 0008 9012 3456 23/04/2024 GST Refund 615.47 59,287.48"
"IN04 0008 9012 3456 24/04/2024 Loan Repayment 18,887.15 40,400.33"
"IN04 0008 9012 3456 24/04/2024 Prime Video 1,437.89 38,962.44"
"IN04 0008 9012 3456 24/04/2024 Health Insurance 11,215.51 27,746.93"
"IN04 0008 9012 3456 25/04/2024 Cash Deposit 10,770.83 16,976.10"
"IN04 0008 9012 3456 25/04/2024 Cash Deposit 1,006.68 15,969.42"
"IN04 0008 9012 3456 26/04/2024 Ola Ride 1,329.93 14,639.49"
"IN04 0008 9012 3456 27/04/2024 Hotstar 520.10 14,119.39"
"IN04 0008 9012 3456 27/04/2024 Broadband Bill 170.85 13,948.54"
"IN04 0008 9012 3456 28/04/2024 Loan Repayment 4,088.41 9,860.13"
"IN04 0008 9012 3456 28/04/2024 DTH Recharge 1,195.76 8,664.37"
"IN04 0008 9012 3456 29/04/2024 Refund - Flipkart 2,348.52 11,012.89"
"IN04 0008 9012 3456 30/04/2024 Refund - Amazon 3,502.04 14,514.93"
"IN04 0008 9012 3456 01/05/2024 Airport Cab 798.68 13,716.25"
"IN04 0008 9012 3456 01/05/2024 Flipkart Order 2,604.19 11,112.06"
"IN04 0008 9012 3456 02/05/2024 Refund - Amazon 3,886.08 14,998.14"
"IN04 0008 9012 3456 02/05/2024 Refund - Amazon 2,206.34 17,204.48"
"IN04 0008 9012 3456 02/05/2024 Term Plan 2,733.67 14,470.81"
"IN04 0008 9012 3456 03/05/2024 Grocery - BigBasket 2,348.98 12,121.83"
"IN04 0008 9012 3456 03/05/2024 Myntra Order 3,688.10 8,433.73"
"IN04 0008 9012 3456 03/05/2024 GST Refund 4,642.79 13,076.52"
"IN04 0008 9012 3456 04/05/2024 NEFT Outward 718.25 12,358.27"
"IN04 0008 9012 3456 04/05/2024 NEFT Outward 740.67 11,617.60"
"IN04 0008 9012 3456 04/05/2024 Insurance Premium 1,959.57 9,658.03"
"IN04 0008 9012 3456 07/05/2024 Bonus Credit 41,948.64 51,606.67"
"IN04 0008 9012 3456 09/05/2024 Swiggy Order 1,220.32 50,386.35"
"IN04 0008 9012 3456 11/05/2024 Lab Test 13,606.92 36,779.43"
"IN04 0008 9012 3456 12/05/2024 ATM Withdrawal 1,288.38 35,491.05"
"IN04 0008 9012 3456 12/05/2024 Cashback Credit 1,684.20 37,175.25"
"IN04 0008 9012 3456 17/05/2024 EMI Debit 27,014.63 10,160.62"
"IN04 0008 9012 3456 18/05/2024 Myntra Order 634.96 9,525.66"
"IN04 0008 9012 3456 18/05/2024 Salary Credit 67,385.17 76,910.83"
"IN04 0008 9012 3456 18/05/2024 Hospital Bill 1,392.36 75,518.47"
"IN04 0008 9012 3456 19/05/2024 DTH Recharge 570.99 74,947.48"
"IN04 0008 9012 3456 19/05/2024 NEFT Outward 27,623.47 102,570.95"
"IN04 0008 9012 3456 20/05/2024 ATM Withdrawal 14,050.72 88,520.23"
"IN04 0008 9012 3456 20/05/2024 Loan Repayment 11,403.81 77,116.42"
"IN04 0008 9012 3456 21/05/2024 Gym Membership 8,417.59 68,698.83"
"IN04 0008 9012 3456 21/05/2024 Refund - Flipkart 3,981.57 72,680.40"
"IN04 0008 9012 3456 22/05/2024 Cash Deposit 4,605.67 68,074.73"
"IN04 0008 9012 3456 22/05/2024 Stock Purchase 35,310.11 32,764.62"
"IN04 0008 9012 3456 27/05/2024 Mall Shopping 2,066.42 30,698.20"
"IN04 0008 9012 3456 29/05/2024 Loan Repayment 20,944.05 9,754.15"
"IN04 0008 9012 3456 29/05/2024 NEFT Outward 521.01 9,233.14"
"IN04 0008 9012 3456 30/05/2024 Refund - Flipkart 4,483.17 13,716.31"
"IN04 0008 9012 3456 30/05/2024 ATM Withdrawal 7,602.08 6,114.23"
"IN04 0008 9012 3456 31/05/2024 Fuel - HPCL 244.86 5,869.37"
"IN04 0008 9012 3456 31/05/2024 Grocery - BigBasket 1,022.73 4,846.64"
"IN04 0008 9012 3456 31/05/2024 Term Plan 435.98 4,410.66"
"IN04 0008 9012 3456 01/06/2024 Stock Purchase 372.14 4,038.52"
"IN04 0008 9012 3456 01/06/2024 Broadband Bill 1,021.43 3,017.09"
"IN04 0008 9012 3456 02/06/2024 Zomato Order 2,389.38 627.71"
IN04 0008 9012 3456 03/06/2024 Mall Shopping 104.95 522.76
IN04 0008 9012 3456 03/06/2024 Zomato Order 150.88 371.88
IN04 0008 9012 3456 03/06/2024 Hospital Bill 107.99 263.89
IN04 0008 9012 3456 05/06/2024 Broadband Bill 94.07 169.82
IN04 0008 9012 3456 05/06/2024 Swiggy Order 175.11 -5.29
IN04 0008 9012 3456 06/06/2024 Uber Ride 134.88 -140.17
"IN04 0008 9012 3456 07/06/2024 Bonus Credit 71,718.98 71,578.81"
"IN04 0008 9012 3456 07/06/2024 NEFT Inward 37,077.81 108,656.62"
"IN04 0008 9012 3456 09/06/2024 Postpaid Bill 865.52 107,791.10"
"IN04 0008 9012 3456 09/06/2024 Bonus Credit 8,338.52 116,129.62"
"IN04 0008 9012 3456 09/06/2024 Netflix Subscription 669.68 115,459.94"
"IN04 0008 9012 3456 11/06/2024 Term Plan 13,971.20 101,488.74"
"IN04 0008 9012 3456 11/06/2024 Refund - Flipkart 4,619.29 106,108.03"
"IN04 0008 9012 3456 11/06/2024 Life Insurance 7,014.43 99,093.60"
"IN04 0008 9012 3456 12/06/2024 Refund - Amazon 4,092.84 103,186.44"
"IN04 0008 9012 3456 12/06/2024 Cash Deposit 8,198.85 94,987.59"
"IN04 0008 9012 3456 14/06/2024 Zomato Order 2,383.86 92,603.73"
"IN04 0008 9012 3456 15/06/2024 Metro Card Recharge 56.64 92,547.09"
"IN04 0008 9012 3456 15/06/2024 Swiggy Order 2,021.79 90,525.30"
"IN04 0008 9012 3456 15/06/2024 Health Insurance 16,307.05 74,218.25"
"IN04 0008 9012 3456 16/06/2024 Cafe Coffee Day 2,181.88 72,036.37"
"IN04 0008 9012 3456 16/06/2024 Postpaid Bill 1,202.98 70,833.39"
"IN04 0008 9012 3456 16/06/2024 Credit Card Payment 20,236.11 50,597.28"
"IN04 0008 9012 3456 17/06/2024 NEFT Outward 21,456.78 29,140.50"
"IN04 0008 9012 3456 17/06/2024 EMI Debit 1,642.89 27,497.61"
"IN04 0008 9012 3456 17/06/2024 Bus Booking 21,853.92 5,643.69"
"IN04 0008 9012 3456 18/06/2024 Freelance Payment 6,065.85 11,709.54"
"IN04 0008 9012 3456 19/06/2024 Myntra Order 775.33 10,934.21"
"IN04 0008 9012 3456 19/06/2024 Swiggy Order 394.30 10,539.91"
"IN04 0008 9012 3456 19/06/2024 Postpaid Bill 460.73 10,079.18"
"IN04 0008 9012 3456 20/06/2024 Cash Deposit 686.09 9,393.09"
"IN04 0008 9012 3456 20/06/2024 Uber Ride 1,116.22 8,276.87"
"IN04 0008 9012 3456 21/06/2024 Health Insurance 545.26 7,731.61"
"IN04 0008 9012 3456 21/06/2024 Flipkart Order 558.66 7,172.95"
"IN04 0008 9012 3456 23/06/2024 Myntra Order 390.19 6,782.76"
"IN04 0008 9012 3456 24/06/2024 Netflix Subscription 800.15 5,982.61"
"IN04 0008 9012 3456 24/06/2024 Term Plan 400.57 5,582.04"
"IN04 0008 9012 3456 24/06/2024 IMPS Transfer 31,462.78 37,044.82"
"IN04 0008 9012 3456 26/06/2024 Internet Bill 4,052.35 32,992.47"
"IN04 0008 9012 3456 26/06/2024 Rental Income 59,398.64 92,391.11"
"IN04 0008 9012 3456 29/06/2024 Gas Bill 885.67 91,505.44"
"IN04 0008 9012 3456 30/06/2024 FD Opening 1,974.56 89,530.88"
"IN04 0008 9012 3456 01/07/2024 Loan Repayment 4,003.51 85,527.37"
"IN04 0008 9012 3456 01/07/2024 Bonus Credit 20,927.00 106,454.37"
"IN04 0008 9012 3456 01/07/2024 Bus Pass 1,930.59 104,523.78"
"IN04 0008 9012 3456 03/07/2024 Term Plan 8,583.14 95,940.64"
"IN04 0008 9012 3456 04/07/2024 IRCTC Ticket 19,383.06 76,557.58"
"IN04 0008 9012 3456 04/07/2024 Ola Ride 157.32 76,400.26"
"IN04 0008 9012 3456 04/07/2024 Ola Ride 1,734.27 74,665.99"
"IN04 0008 9012 3456 06/07/2024 Cash Deposit 8,602.91 66,063.08"
"IN04 0008 9012 3456 06/07/2024 Insurance Premium 14,558.96 51,504.12"
"IN04 0008 9012 3456 07/07/2024 Flipkart Order 12,676.73 38,827.39"
"IN04 0008 9012 3456 07/07/2024 NEFT Inward 22,544.21 61,371.60"
"IN04 0008 9012 3456 07/07/2024 Internet Bill 2,522.29 58,849.31"
"IN04 0008 9012 3456 08/07/2024 Meesho 12,200.27 46,649.04"
"IN04 0008 9012 3456 08/07/2024 Credit Card Payment 10,194.94 36,454.10"
"IN04 0008 9012 3456 09/07/2024 Bonus Credit 27,008.85 63,462.95"
"IN04 0008 9012 3456 09/07/2024 Insurance Premium 1,296.24 62,166.71"
"IN04 0008 9012 3456 10/07/2024 ATM Withdrawal 14,070.18 48,096.53"
"IN04 0008 9012 3456 10/07/2024 Term Plan 14,989.57 33,106.96"
"IN04 0008 9012 3456 11/07/2024 Prime Video 1,473.82 31,633.14"
"IN04 0008 9012 3456 11/07/2024 Rental Income 10,633.37 42,266.51"
"IN04 0008 9012 3456 12/07/2024 Broadband Bill 669.03 41,597.48"
"IN04 0008 9012 3456 12/07/2024 Grocery - BigBasket 873.16 40,724.32"
"IN04 0008 9012 3456 14/07/2024 Refund - Amazon 1,844.53 42,568.85"
"IN04 0008 9012 3456 16/07/2024 Loan Repayment 10,231.04 32,337.81"
"IN04 0008 9012 3456 16/07/2024 Flipkart Order 8,730.89 23,606.92"
"IN04 0008 9012 3456 18/07/2024 Grocery - BigBasket 833.80 22,773.12"
"IN04 0008 9012 3456 20/07/2024 Cashback Credit 547.16 23,320.28"
"IN04 0008 9012 3456 20/07/2024 Flight Ticket - IndiGo 9,563.20 13,757.08"
"IN04 0008 9012 3456 21/07/2024 Myntra Order 4,181.91 9,575.17"
"IN04 0008 9012 3456 21/07/2024 Zomato Order 246.37 9,328.80"
"IN04 0008 9012 3456 21/07/2024 UPI Payment 4,451.78 4,877.02"
"IN04 0008 9012 3456 22/07/2024 Loan Repayment 274.16 4,602.86"
"IN04 0008 9012 3456 22/07/2024 DTH Recharge 410.20 4,192.66"
"IN04 0008 9012 3456 22/07/2024 Ola Ride 1,035.49 3,157.17"
"IN04 0008 9012 3456 23/07/2024 ATM Withdrawal 171.06 2,986.11"
"IN04 0008 9012 3456 24/07/2024 Postpaid Bill 276.45 2,709.66"
"IN04 0008 9012 3456 25/07/2024 Flight Ticket - IndiGo 311.75 2,397.91"
"IN04 0008 9012 3456 26/07/2024 PPF Contribution 211.54 2,186.37"
"IN04 0008 9012 3456 27/07/2024 Bus Pass 913.48 1,272.89"
"IN04 0008 9012 3456 27/07/2024 Internet Bill 151.84 1,121.05"
IN04 0008 9012 3456 27/07/2024 IMPS Transfer 235.07 885.98
IN04 0008 9012 3456 28/07/2024 Health Insurance 240.08 645.90
IN04 0008 9012 3456 28/07/2024 Bus Booking 90.35 555.55
IN04 0008 9012 3456 28/07/2024 DTH Recharge 159.53 396.02
IN04 0008 9012 3456 30/07/2024 Electricity Bill 77.30 318.72
IN04 0008 9012 3456 02/08/2024 Water Bill 47.33 271.39
IN04 0008 9012 3456 02/08/2024 Zomato Order 181.26 90.13
IN04 0008 9012 3456 02/08/2024 Restaurant Bill 53.71 36.42
IN04 0008 9012 3456 03/08/2024 Electricity Bill 73.59 -37.17
IN04 0008 9012 3456 04/08/2024 Bus Booking 92.39 -129.56
IN04 0008 9012 3456 04/08/2024 Uber Ride 70.63 -200.19
IN04 0008 9012 3456 04/08/2024 Life Insurance 180.33 -380.52
IN04 0008 9012 3456 05/08/2024 Grocery - BigBasket 79.05 -459.57
IN04 0008 9012 3456 05/08/2024 Swiggy Order 86.64 -546.21
IN04 0008 9012 3456 05/08/2024 Metro Card Recharge 37.26 -583.47
IN04 0008 9012 3456 06/08/2024 Hospital Bill -16.56 -566.91
IN04 0008 9012 3456 06/08/2024 Credit Card Payment 68.00 -634.91
IN04 0008 9012 3456 07/08/2024 ATM Withdrawal 109.06 -743.97
IN04 0008 9012 3456 07/08/2024 Gym Membership 24.03 -768.00
IN04 0008 9012 3456 08/08/2024 Metro Card Recharge -25.14 -742.86
IN04 0008 9012 3456 08/08/2024 Metro Card Recharge 160.29 -903.15
"IN04 0008 9012 3456 08/08/2024 Dividend Credit 53,141.64 52,238.49"
"IN04 0008 9012 3456 09/08/2024 Myntra Order 10,874.39 41,364.10"
"IN04 0008 9012 3456 10/08/2024 Mobile Recharge 479.81 40,884.29"
"IN04 0008 9012 3456 10/08/2024 Cash Deposit 15,054.86 25,829.43"
"IN04 0008 9012 3456 14/08/2024 Cashback Credit 1,297.89 27,127.32"
"IN04 0008 9012 3456 15/08/2024 Credit Card Payment 1,528.98 25,598.34"
"IN04 0008 9012 3456 16/08/2024 Cash Deposit 19,560.31 6,038.03"
"IN04 0008 9012 3456 18/08/2024 Grocery - BigBasket 1,939.75 4,098.28"
"IN04 0008 9012 3456 19/08/2024 IMPS Transfer 258.13 4,356.41"
"IN04 0008 9012 3456 19/08/2024 Myntra Order 308.54 4,047.87"
"IN04 0008 9012 3456 19/08/2024 Broadband Bill 920.26 3,127.61"
"IN04 0008 9012 3456 20/08/2024 Cash Deposit 2,373.75 753.86"
IN04 0008 9012 3456 20/08/2024 PPF Contribution 94.22 659.64
IN04 0008 9012 3456 20/08/2024 Grocery - BigBasket 187.18 472.46
IN04 0008 9012 3456 21/08/2024 Stock Purchase 140.49 331.97
IN04 0008 9012 3456 21/08/2024 Mobile Recharge 243.57 88.40
IN04 0008 9012 3456 22/08/2024 Metro Card Recharge 53.36 35.04
"IN04 0008 9012 3456 23/08/2024 Salary Credit 12,696.14 12,731.18"
"IN04 0008 9012 3456 23/08/2024 Bonus Credit 58,882.32 71,613.50"
"IN04 0008 9012 3456 23/08/2024 Uber Ride 694.49 70,919.01"
"IN04 0008 9012 3456 26/08/2024 Cafe Coffee Day 1,070.11 69,848.90"
"IN04 0008 9012 3456 26/08/2024 Health Insurance 17,807.05 52,041.85"
"IN04 0008 9012 3456 27/08/2024 Myntra Order 13,868.79 38,173.06"
"IN04 0008 9012 3456 30/08/2024 Credit Card Payment 16,569.84 21,603.22"
"IN04 0008 9012 3456 30/08/2024 ATM Withdrawal 1,361.33 20,241.89"
"IN04 0008 9012 3456 31/08/2024 Freelance Payment 54,297.28 74,539.17"
"IN04 0008 9012 3456 31/08/2024 Postpaid Bill 107.91 74,431.26"
"IN04 0008 9012 3456 01/09/2024 Life Insurance 12,037.97 62,393.29"
"IN04 0008 9012 3456 01/09/2024 Cashback Credit 545.46 62,938.75"
"IN04 0008 9012 3456 01/09/2024 Dividend Credit 22,199.69 85,138.44"
"IN04 0008 9012 3456 02/09/2024 Restaurant Bill 1,765.24 83,373.20"
"IN04 0008 9012 3456 02/09/2024 Cashback Credit 3,778.97 87,152.17"
"IN04 0008 9012 3456 03/09/2024 Swiggy Order 2,453.31 84,698.86"
"IN04 0008 9012 3456 05/09/2024 Uber Ride 2,475.83 82,223.03"
"IN04 0008 9012 3456 05/09/2024 Ola Ride 2,210.70 80,012.33"
"IN04 0008 9012 3456 06/09/2024 Life Insurance 3,365.85 76,646.48"
"IN04 0008 9012 3456 07/09/2024 Mutual Fund SIP 33,252.23 43,394.25"
"IN04 0008 9012 3456 07/09/2024 Bus Pass 446.82 42,947.43"
"IN04 0008 9012 3456 09/09/2024 BookMyShow 1,268.48 41,678.95"
"IN04 0008 9012 3456 10/09/2024 Electricity Bill 4,184.74 37,494.21"
"IN04 0008 9012 3456 10/09/2024 Internet Bill 1,952.62 35,541.59"
"IN04 0008 9012 3456 10/09/2024 Gas Bill 272.13 35,269.46"
"IN04 0008 9012 3456 11/09/2024 Cash Deposit 2,616.23 32,653.23"
"IN04 0008 9012 3456 12/09/2024 Ola Ride 503.53 32,149.70"
"IN04 0008 9012 3456 14/09/2024 Uber Ride 835.11 31,314.59"
"IN04 0008 9012 3456 14/09/2024 Dividend Credit 71,287.15 102,601.74"
"IN04 0008 9012 3456 14/09/2024 Dividend Credit 72,423.13 175,024.87"
"IN04 0008 9012 3456 15/09/2024 GST Refund 829.12 175,853.99"
"IN04 0008 9012 3456 15/09/2024 NEFT Inward 26,488.56 202,342.55"
"IN04 0008 9012 3456 16/09/2024 Hotel Booking 18,445.18 183,897.37"
"IN04 0008 9012 3456 16/09/2024 Loan Repayment 9,096.09 174,801.28"
"IN04 0008 9012 3456 16/09/2024 Health Insurance 4,361.53 170,439.75"
"IN04 0008 9012 3456 18/09/2024 IRCTC Ticket 11,453.13 158,986.62"
"IN04 0008 9012 3456 19/09/2024 Refund - Amazon 4,379.89 163,366.51"
"IN04 0008 9012 3456 19/09/2024 Flipkart Order 13,532.30 149,834.21"
"IN04 0008 9012 3456 19/09/2024 Bus Pass 2,851.21 146,983.00"
"IN04 0008 9012 3456 21/09/2024 Bus Booking 21,459.73 125,523.27"
"IN04 0008 9012 3456 21/09/2024 Life Insurance 1,266.06 124,257.21"
"IN04 0008 9012 3456 21/09/2024 DTH Recharge 4,391.42 119,865.79"
"IN04 0008 9012 3456 22/09/2024 Ola Ride 1,549.83 118,315.96"
"IN04 0008 9012 3456 24/09/2024 Dividend Credit 11,267.59 129,583.55"
"IN04 0008 9012 3456 26/09/2024 Lab Test 11,023.26 118,560.29"
"IN04 0008 9012 3456 26/09/2024 Life Insurance 1,138.27 117,422.02"
"IN04 0008 9012 3456 27/09/2024 Life Insurance 2,525.83 114,896.19"
"IN04 0008 9012 3456 27/09/2024 EMI Debit 21,264.49 93,631.70"
"IN04 0008 9012 3456 27/09/2024 Meesho 2,387.77 91,243.93"
"IN04 0008 9012 3456 28/09/2024 Mall Shopping 10,869.61 80,374.32"
"IN04 0008 9012 3456 28/09/2024 Salary Credit 60,330.58 140,704.90"
"IN04 0008 9012 3456 28/09/2024 Prime Video 329.65 140,375.25"
"IN04 0008 9012 3456 29/09/2024 Car Insurance 934.42 139,440.83"
"IN04 0008 9012 3456 29/09/2024 EMI Debit 23,621.38 115,819.45"
"IN04 0008 9012 3456 03/10/2024 DTH Recharge 497.21 115,322.24"
"IN04 0008 9012 3456 03/10/2024 Mobile Recharge 772.57 114,549.67"
"IN04 0008 9012 3456 05/10/2024 Credit Card Payment 19,778.88 94,770.79"
"IN04 0008 9012 3456 05/10/2024 Cafe Coffee Day 142.54 94,628.25"
"IN04 0008 9012 3456 05/10/2024 Gas Bill 1,632.94 92,995.31"
"IN04 0008 9012 3456 07/10/2024 Loan Repayment 8,563.32 84,431.99"
"IN04 0008 9012 3456 07/10/2024 Meesho 12,228.93 72,203.06"
"IN04 0008 9012 3456 08/10/2024 Gym Membership 10,492.22 61,710.84"
"IN04 0008 9012 3456 08/10/2024 EMI Debit 5,366.74 56,344.10"
"IN04 0008 9012 3456 08/10/2024 Car Insurance 7,770.52 48,573.58"
"IN04 0008 9012 3456 10/10/2024 Airport Cab 1,499.38 47,074.20"
"IN04 0008 9012 3456 10/10/2024 Airport Cab 1,079.67 45,994.53"
"IN04 0008 9012 3456 13/10/2024 Refund - Flipkart 1,920.58 47,915.11"
"IN04 0008 9012 3456 13/10/2024 Cash Deposit 2,229.43 45,685.68"
"IN04 0008 9012 3456 14/10/2024 Freelance Payment 35,388.75 81,074.43"
"IN04 0008 9012 3456 14/10/2024 UPI Payment 9,584.91 90,659.34"
"IN04 0008 9012 3456 15/10/2024 Freelance Payment 79,300.07 169,959.41"
"IN04 0008 9012 3456 15/10/2024 Netflix Subscription 612.06 169,347.35"
"IN04 0008 9012 3456 16/10/2024 Credit Card Payment 11,884.44 157,462.91"
"IN04 0008 9012 3456 19/10/2024 Restaurant Bill 583.16 156,879.75"
"IN04 0008 9012 3456 19/10/2024 Bus Booking 25,723.96 131,155.79"
"IN04 0008 9012 3456 19/10/2024 Bonus Credit 51,356.83 182,512.62"
"IN04 0008 9012 3456 21/10/2024 Electricity Bill 397.49 182,115.13"
"IN04 0008 9012 3456 24/10/2024 Health Insurance 2,572.86 179,542.27"
"IN04 0008 9012 3456 24/10/2024 Dividend Credit 60,387.97 239,930.24"
"IN04 0008 9012 3456 24/10/2024 Lab Test 19,246.83 220,683.41"
"IN04 0008 9012 3456 25/10/2024 Bonus Credit 42,383.54 263,066.95"
"IN04 0008 9012 3456 26/10/2024 Freelance Payment 33,356.59 296,423.54"
"IN04 0008 9012 3456 27/10/2024 Salary Credit 34,978.15 331,401.69"
"IN04 0008 9012 3456 28/10/2024 Electricity Bill 793.35 330,608.34"
"IN04 0008 9012 3456 29/10/2024 IMPS Transfer 29,094.39 301,513.95"
"IN04 0008 9012 3456 29/10/2024 Cash Deposit 8,449.00 293,064.95"
"IN04 0008 9012 3456 29/10/2024 Electricity Bill 1,289.31 291,775.64"
"IN04 0008 9012 3456 30/10/2024 Credit Card Payment 4,784.80 286,990.84"
"IN04 0008 9012 3456 30/10/2024 Postpaid Bill 1,282.90 285,707.94"
"IN04 0008 9012 3456 30/10/2024 Hotel Booking 3,391.56 282,316.38"
"IN04 0008 9012 3456 31/10/2024 Mall Shopping 13,126.97 269,189.41"
"IN04 0008 9012 3456 31/10/2024 Term Plan 4,728.57 264,460.84"
"IN04 0008 9012 3456 01/11/2024 Gas Bill 4,736.09 259,724.75"
"IN04 0008 9012 3456 01/11/2024 BookMyShow 1,312.65 258,412.10"
"IN04 0008 9012 3456 01/11/2024 Zomato Order 1,055.94 257,356.16"
"IN04 0008 9012 3456 02/11/2024 Postpaid Bill 616.04 256,740.12"
"IN04 0008 9012 3456 03/11/2024 Hospital Bill 19,188.45 237,551.67"
"IN04 0008 9012 3456 06/11/2024 IRCTC Ticket 12,512.39 225,039.28"
"IN04 0008 9012 3456 06/11/2024 Lab Test 10,308.30 214,730.98"
"IN04 0008 9012 3456 06/11/2024 Insurance Premium 11,694.54 203,036.44"
"IN04 0008 9012 3456 08/11/2024 Bus Pass 2,107.35 200,929.09"
"IN04 0008 9012 3456 08/11/2024 Freelance Payment 67,281.17 268,210.26"
"IN04 0008 9012 3456 09/11/2024 Spotify Premium 751.42 267,458.84"
"IN04 0008 9012 3456 09/11/2024 Insurance Premium 10,268.33 257,190.51"
"IN04 0008 9012 3456 10/11/2024 Grocery - BigBasket 1,742.12 255,448.39"
"IN04 0008 9012 3456 10/11/2024 Grocery - BigBasket 657.94 254,790.45"
"IN04 0008 9012 3456 11/11/2024 Fuel - HPCL 623.27 254,167.18"
"IN04 0008 9012 3456 12/11/2024 IMPS Transfer 35,362.51 289,529.69"
"IN04 0008 9012 3456 12/11/2024 Mobile Recharge 1,229.19 288,300.50"
"IN04 0008 9012 3456 16/11/2024 Bonus Credit 59,093.88 347,394.38"
"IN04 0008 9012 3456 16/11/2024 EMI Debit 16,786.96 330,607.42"
"IN04 0008 9012 3456 16/11/2024 NEFT Outward 9,795.63 340,403.05"
"IN04 0008 9012 3456 17/11/2024 Stock Purchase 7,167.99 333,235.06"
"IN04 0008 9012 3456 18/11/2024 Ola Ride 2,653.03 330,582.03"
"IN04 0008 9012 3456 18/11/2024 Insurance Premium 10,988.73 319,593.30"
"IN04 0008 9012 3456 20/11/2024 Loan Repayment 29,751.24 289,842.06"
"IN04 0008 9012 3456 20/11/2024 Mall Shopping 14,418.95 275,423.11"
"IN04 0008 9012 3456 20/11/2024 Term Plan 11,794.24 263,628.87"
"IN04 0008 9012 3456 23/11/2024 Ola Ride 2,991.93 260,636.94"
"IN04 0008 9012 3456 26/11/2024 Loan Repayment 4,248.42 256,388.52"
"IN04 0008 9012 3456 26/11/2024 DTH Recharge 2,666.96 253,721.56"
